year,url
2009,http://en.wikipedia.org/wiki/2009_Formula_One_season
2008,http://en.wikipedia.org/wiki/2008_Formula_One_season
2007,http://en.wikipedia.org/wiki/2007_Formula_One_season
2006,http://en.wikipedia.org/wiki/2006_Formula_One_season
2005,http://en.wikipedia.org/wiki/2005_Formula_One_season
2004,http://en.wikipedia.org/wiki/2004_Formula_One_season
2003,http://en.wikipedia.org/wiki/2003_Formula_One_season
2002,http://en.wikipedia.org/wiki/2002_Formula_One_season
2001,http://en.wikipedia.org/wiki/2001_Formula_One_season
2000,http://en.wikipedia.org/wiki/2000_Formula_One_season
1999,http://en.wikipedia.org/wiki/1999_Formula_One_season
1998,http://en.wikipedia.org/wiki/1998_Formula_One_season
1997,http://en.wikipedia.org/wiki/1997_Formula_One_season
1996,http://en.wikipedia.org/wiki/1996_Formula_One_season
1995,http://en.wikipedia.org/wiki/1995_Formula_One_season
1994,http://en.wikipedia.org/wiki/1994_Formula_One_season
1993,http://en.wikipedia.org/wiki/1993_Formula_One_season
1992,http://en.wikipedia.org/wiki/1992_Formula_One_season
1991,http://en.wikipedia.org/wiki/1991_Formula_One_season
1990,http://en.wikipedia.org/wiki/1990_Formula_One_season
2010,http://en.wikipedia.org/wiki/2010_Formula_One_season
1989,http://en.wikipedia.org/wiki/1989_Formula_One_season
1988,http://en.wikipedia.org/wiki/1988_Formula_One_season
1987,http://en.wikipedia.org/wiki/1987_Formula_One_season
1986,http://en.wikipedia.org/wiki/1986_Formula_One_season
1985,http://en.wikipedia.org/wiki/1985_Formula_One_season
1984,http://en.wikipedia.org/wiki/1984_Formula_One_season
1983,http://en.wikipedia.org/wiki/1983_Formula_One_season
1982,http://en.wikipedia.org/wiki/1982_Formula_One_season
1981,http://en.wikipedia.org/wiki/1981_Formula_One_season
1980,http://en.wikipedia.org/wiki/1980_Formula_One_season
1979,http://en.wikipedia.org/wiki/1979_Formula_One_season
1978,http://en.wikipedia.org/wiki/1978_Formula_One_season
1977,http://en.wikipedia.org/wiki/1977_Formula_One_season
1976,http://en.wikipedia.org/wiki/1976_Formula_One_season
1975,http://en.wikipedia.org/wiki/1975_Formula_One_season
1974,http://en.wikipedia.org/wiki/1974_Formula_One_season
1973,http://en.wikipedia.org/wiki/1973_Formula_One_season
1972,http://en.wikipedia.org/wiki/1972_Formula_One_season
1971,http://en.wikipedia.org/wiki/1971_Formula_One_season
1970,http://en.wikipedia.org/wiki/1970_Formula_One_season
1969,http://en.wikipedia.org/wiki/1969_Formula_One_season
1968,http://en.wikipedia.org/wiki/1968_Formula_One_season
1967,http://en.wikipedia.org/wiki/1967_Formula_One_season
1966,http://en.wikipedia.org/wiki/1966_Formula_One_season
1965,http://en.wikipedia.org/wiki/1965_Formula_One_season
1964,http://en.wikipedia.org/wiki/1964_Formula_One_season
1963,http://en.wikipedia.org/wiki/1963_Formula_One_season
1962,http://en.wikipedia.org/wiki/1962_Formula_One_season
1961,http://en.wikipedia.org/wiki/1961_Formula_One_season
1960,http://en.wikipedia.org/wiki/1960_Formula_One_season
1959,http://en.wikipedia.org/wiki/1959_Formula_One_season
