resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
23776,988,843,5,28,20,15,15,15,0.0,54,\N,\N,52,18,1:43.897,192.444,11
23777,988,842,5,10,17,16,16,16,0.0,54,\N,\N,33,16,1:43.844,192.542,11
23778,988,828,15,9,19,17,17,17,0.0,54,\N,\N,36,15,1:43.567,193.057,11
23779,988,840,3,18,15,18,18,18,0.0,54,\N,\N,52,6,1:42.324,195.402,11
23780,988,832,4,55,12,\N,R,19,0.0,31,\N,\N,26,14,1:43.378,193.410,36
23781,988,817,9,3,4,\N,R,20,0.0,20,\N,\N,13,12,1:42.757,194.579,9
23782,989,20,6,5,3,1,1,1,25.0,58,1:29:33.283,5373283,53,4,1:26.469,220.782,1
23783,989,1,131,44,1,2,2,2,18.0,58,+5.036,5378319,50,3,1:26.444,220.845,1
23784,989,8,6,7,2,3,3,3,15.0,58,+6.309,5379592,57,2,1:26.373,221.027,1
23785,989,817,9,3,8,4,4,4,12.0,58,+7.069,5380352,54,1,1:25.945,222.128,1
23786,989,4,1,14,10,5,5,5,10.0,58,+27.886,5401169,57,7,1:26.978,219.489,1
23787,989,830,9,33,4,6,6,6,8.0,58,+28.945,5402228,54,5,1:26.880,219.737,1
23788,989,807,4,27,7,7,7,7,6.0,58,+32.671,5405954,57,9,1:27.081,219.230,1
23789,989,822,131,77,15,8,8,8,4.0,58,+34.339,5407622,54,8,1:27.019,219.386,1
23790,989,838,1,2,11,9,9,9,2.0,58,+34.921,5408204,57,6,1:26.958,219.540,1
23791,989,832,4,55,9,10,10,10,1.0,58,+45.722,5419005,51,12,1:27.944,217.079,1
23792,989,815,10,11,12,11,11,11,0.0,58,+46.817,5420100,51,11,1:27.633,217.849,1
23793,989,839,10,31,14,12,12,12,0.0,58,+1:00.278,5433561,57,10,1:27.600,217.931,1
23794,989,844,15,16,18,13,13,13,0.0,58,+1:15.759,5449042,56,15,1:28.759,215.085,1
23795,989,840,3,18,13,14,14,14,0.0,58,+1:18.288,5451571,55,14,1:28.511,215.688,1
23796,989,843,5,28,16,15,15,15,0.0,57,\N,\N,57,13,1:28.176,216.507,11
23797,989,154,210,8,6,\N,R,16,0.0,24,\N,\N,23,16,1:28.805,214.974,36
23798,989,825,210,20,5,\N,R,17,0.0,22,\N,\N,21,17,1:29.534,213.224,36
23799,989,842,5,10,20,\N,R,18,0.0,13,\N,\N,13,18,1:30.649,210.601,5
23800,989,828,15,9,17,\N,R,19,0.0,5,\N,\N,4,19,1:32.210,207.036,38
23801,989,845,3,35,19,\N,R,20,0.0,4,\N,\N,3,20,1:32.573,206.224,23
23802,990,20,6,5,1,1,1,1,25.0,57,1:32:01.940,5521940,21,7,1:34.453,206.274,1
23803,990,822,131,77,3,2,2,2,18.0,57,+0.699,5522639,22,1,1:33.740,207.842,1
23804,990,1,131,44,9,3,3,3,15.0,57,+6.512,5528452,51,2,1:33.953,207.371,1
23805,990,842,5,10,5,4,4,4,12.0,57,+1:02.234,5584174,46,11,1:34.863,205.382,1
23806,990,825,210,20,6,5,5,5,10.0,57,+1:15.046,5596986,29,5,1:34.327,206.549,1
23807,990,807,4,27,7,6,6,6,8.0,57,+1:39.024,5620964,50,9,1:34.667,205.807,1
23808,990,4,1,14,13,7,7,7,6.0,56,\N,\N,47,4,1:34.168,206.898,11
23809,990,838,1,2,14,8,8,8,4.0,56,\N,\N,30,16,1:35.131,204.803,11
23810,990,828,15,9,17,9,9,9,2.0,56,\N,\N,26,15,1:35.093,204.885,11
23811,990,839,10,31,8,10,10,10,1.0,56,\N,\N,38,12,1:35.043,204.993,11
23812,990,832,4,55,10,11,11,11,0.0,56,\N,\N,35,18,1:35.535,203.937,11
23813,990,844,15,16,19,12,12,12,0.0,56,\N,\N,35,14,1:35.075,204.924,11
23814,990,154,210,8,16,13,13,13,0.0,56,\N,\N,44,10,1:34.689,205.759,11
23815,990,840,3,18,20,14,14,14,0.0,56,\N,\N,40,13,1:35.058,204.961,11
23816,990,845,3,35,18,15,15,15,0.0,56,\N,\N,47,3,1:34.053,207.151,11
23817,990,815,10,11,12,16,16,16,0.0,56,\N,\N,32,17,1:35.266,204.513,11
23818,990,843,5,28,11,17,17,17,0.0,56,\N,\N,42,8,1:34.563,206.034,11
23819,990,8,6,7,2,\N,R,18,0.0,35,\N,\N,22,6,1:34.337,206.527,36
23820,990,830,9,33,15,\N,R,19,0.0,3,\N,\N,\N,0,\N,\N,29
23821,990,817,9,3,4,\N,R,20,0.0,1,\N,\N,\N,0,\N,\N,10
23822,991,817,9,3,6,1,1,1,25.0,56,1:35:36.380,5736380,55,1,1:35.785,204.871,1
23823,991,822,131,77,3,2,2,2,18.0,56,+8.894,5745274,50,6,1:36.987,202.332,1
23824,991,8,6,7,2,3,3,3,15.0,56,+9.637,5746017,48,3,1:36.456,203.446,1
23825,991,1,131,44,4,4,4,4,12.0,56,+16.985,5753365,20,4,1:36.878,202.559,1
23826,991,830,9,33,5,5,5,5,10.0,56,+20.436,5756816,50,2,1:36.206,203.974,1
23827,991,807,4,27,7,6,6,6,8.0,56,+21.052,5757432,56,5,1:36.881,202.553,1
23828,991,4,1,14,13,7,7,7,6.0,56,+30.639,5767019,56,7,1:37.234,201.818,1
23829,991,20,6,5,1,8,8,8,4.0,56,+35.286,5771666,24,9,1:37.479,201.311,1
23830,991,832,4,55,9,9,9,9,2.0,56,+35.763,5772143,54,11,1:37.754,200.744,1
23831,991,825,210,20,11,10,10,10,1.0,56,+39.594,5775974,54,14,1:38.152,199.930,1
23832,991,839,10,31,12,11,11,11,0.0,56,+44.050,5780430,47,12,1:37.985,200.271,1
23833,991,815,10,11,8,12,12,12,0.0,56,+44.725,5781105,54,10,1:37.673,200.911,1
23834,991,838,1,2,14,13,13,13,0.0,56,+49.373,5785753,54,13,1:38.137,199.961,1
23835,991,840,3,18,18,14,14,14,0.0,56,+55.490,5791870,54,17,1:38.500,199.224,1
23836,991,845,3,35,16,15,15,15,0.0,56,+58.241,5794621,47,18,1:38.624,198.973,1
23837,991,828,15,9,20,16,16,16,0.0,56,+1:02.604,5798984,52,16,1:38.386,199.455,1
23838,991,154,210,8,10,17,17,17,0.0,56,+1:05.296,5801676,51,8,1:37.410,201.453,1
23839,991,842,5,10,17,18,18,18,0.0,56,+1:06.330,5802710,54,15,1:38.367,199.493,1
23840,991,844,15,16,19,19,19,19,0.0,56,+1:22.575,5818955,23,19,1:38.808,198.603,1
23841,991,843,5,28,15,20,20,20,0.0,51,\N,\N,50,20,1:39.376,197.468,130
23842,992,1,131,44,2,1,1,1,25.0,51,1:43:44.291,6224291,35,2,1:45.412,205.012,1
23843,992,8,6,7,6,2,2,2,18.0,51,+2.460,6226751,50,7,1:46.523,202.874,1
23844,992,815,10,11,8,3,3,3,15.0,51,+4.024,6228315,51,6,1:46.206,203.480,1
23845,992,20,6,5,1,4,4,4,12.0,51,+5.329,6229620,38,4,1:45.530,204.783,1
23846,992,832,4,55,9,5,5,5,10.0,51,+7.515,6231806,50,9,1:46.856,202.242,1
23847,992,844,15,16,13,6,6,6,8.0,51,+9.158,6233449,31,11,1:47.403,201.212,1
23848,992,4,1,14,12,7,7,7,6.0,51,+10.931,6235222,32,12,1:47.449,201.126,1
23849,992,840,3,18,10,8,8,8,4.0,51,+12.546,6236837,50,8,1:46.815,202.319,1
23850,992,838,1,2,16,9,9,9,2.0,51,+14.152,6238443,50,13,1:47.666,200.720,1
23851,992,843,5,28,19,10,10,10,1.0,51,+18.030,6242321,51,17,1:48.288,199.567,1
23852,992,828,15,9,18,11,11,11,0.0,51,+18.512,6242803,51,14,1:47.925,200.239,1
23853,992,842,5,10,17,12,12,12,0.0,51,+24.720,6249011,38,15,1:48.035,200.035,1
23854,992,825,210,20,15,13,13,13,0.0,51,+40.663,6264954,35,16,1:48.155,199.813,1
23855,992,822,131,77,3,\N,R,14,0.0,48,\N,\N,37,1,1:45.149,205.525,29
23856,992,154,210,8,20,\N,R,15,0.0,42,\N,\N,34,10,1:46.880,202.196,3
23857,992,830,9,33,5,\N,R,16,0.0,39,\N,\N,31,5,1:45.771,204.316,4
23858,992,817,9,3,4,\N,R,17,0.0,39,\N,\N,34,3,1:45.419,204.999,4
23859,992,807,4,27,14,\N,R,18,0.0,10,\N,\N,10,18,1:48.867,198.506,3
23860,992,839,10,31,7,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4
23861,992,845,3,35,11,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
23862,993,1,131,44,1,1,1,1,25.0,66,1:35:29.972,5729972,64,3,1:19.133,211.770,1
23863,993,822,131,77,2,2,2,2,18.0,66,+20.593,5750565,56,5,1:19.478,210.850,1
23864,993,830,9,33,5,3,3,3,15.0,66,+26.873,5756845,62,4,1:19.422,210.999,1
23865,993,20,6,5,3,4,4,4,12.0,66,+27.584,5757556,61,2,1:19.128,211.783,1
23866,993,817,9,3,6,5,5,5,10.0,66,+50.058,5780030,61,1,1:18.441,213.638,1
23867,993,825,210,20,7,6,6,6,8.0,65,\N,\N,64,6,1:20.246,208.832,11
23868,993,832,4,55,9,7,7,7,6.0,65,\N,\N,61,9,1:21.324,206.064,11
23869,993,4,1,14,8,8,8,8,4.0,65,\N,\N,64,7,1:20.727,207.588,11
23870,993,815,10,11,15,9,9,9,2.0,64,\N,\N,43,8,1:21.128,206.562,12
23871,993,844,15,16,14,10,10,10,1.0,64,\N,\N,51,14,1:22.122,204.062,12
23872,993,840,3,18,18,11,11,11,0.0,64,\N,\N,60,12,1:22.095,204.129,12
23873,993,843,5,28,20,12,12,12,0.0,64,\N,\N,63,10,1:21.439,205.773,12
23874,993,828,15,9,17,13,13,13,0.0,64,\N,\N,50,15,1:22.487,203.159,12
23875,993,845,3,35,19,14,14,14,0.0,63,\N,\N,57,17,1:22.680,202.685,13
23876,993,838,1,2,11,\N,R,15,0.0,45,\N,\N,38,16,1:22.594,202.896,6
23877,993,839,10,31,13,\N,R,16,0.0,38,\N,\N,36,13,1:22.117,204.074,44
23878,993,8,6,7,4,\N,R,17,0.0,25,\N,\N,23,11,1:21.531,205.541,101
23879,993,154,210,8,10,\N,R,18,0.0,0,\N,\N,\N,0,\N,\N,4
23880,993,842,5,10,12,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4
23881,993,807,4,27,16,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
23882,994,817,9,3,1,1,1,1,25.0,78,1:42:54.807,6174807,13,5,1:15.562,158.984,1
23883,994,20,6,5,2,2,2,2,18.0,78,+7.336,6182143,14,7,1:16.065,157.933,1
23884,994,1,131,44,3,3,3,3,15.0,78,+17.013,6191820,15,8,1:16.270,157.508,1
23885,994,8,6,7,4,4,4,4,12.0,78,+18.127,6192934,13,10,1:16.392,157.257,1
23886,994,822,131,77,5,5,5,5,10.0,78,+18.822,6193629,21,9,1:16.312,157.422,1
23887,994,839,10,31,6,6,6,6,8.0,78,+23.667,6198474,63,14,1:17.027,155.960,1
23888,994,842,5,10,10,7,7,7,6.0,78,+24.331,6199138,68,15,1:17.099,155.815,1
23889,994,807,4,27,11,8,8,8,4.0,78,+24.839,6199646,57,6,1:16.061,157.941,1
23890,994,830,9,33,20,9,9,9,2.0,78,+25.317,6200124,60,1,1:14.260,161.772,1
23891,994,832,4,55,8,10,10,10,1.0,78,+1:09.013,6243820,19,18,1:17.491,155.027,1
23892,994,828,15,9,16,11,11,11,0.0,78,+1:09.864,6244671,19,12,1:16.936,156.145,1
23893,994,815,10,11,9,12,12,12,0.0,78,+1:10.461,6245268,24,19,1:17.546,154.917,1
23894,994,825,210,20,19,13,13,13,0.0,78,+1:14.823,6249630,20,17,1:17.476,155.057,1
23895,994,838,1,2,12,14,14,14,0.0,77,\N,\N,76,11,1:16.864,156.291,11
23896,994,154,210,8,18,15,15,15,0.0,77,\N,\N,74,2,1:14.822,160.557,11
23897,994,845,3,35,13,16,16,16,0.0,77,\N,\N,75,4,1:15.325,159.484,11
23898,994,840,3,18,17,17,17,17,0.0,76,\N,\N,61,3,1:14.944,160.295,12
23899,994,844,15,16,14,\N,R,18,0.0,70,\N,\N,17,20,1:17.710,154.590,4
23900,994,843,5,28,15,\N,R,19,0.0,70,\N,\N,15,16,1:17.172,155.667,4
23901,994,4,1,14,7,\N,R,20,0.0,52,\N,\N,23,13,1:17.018,155.979,6
23902,995,20,6,5,1,1,1,1,25.0,68,1:28:31.377,5311377,57,2,1:13.964,212.260,1
23903,995,822,131,77,2,2,2,2,18.0,68,+7.376,5318753,51,3,1:13.992,212.179,1
23904,995,830,9,33,3,3,3,3,15.0,68,+8.360,5319737,65,1,1:13.864,212.547,1
23905,995,817,9,3,6,4,4,4,12.0,68,+20.892,5332269,59,5,1:14.159,211.701,1
23906,995,1,131,44,4,5,5,5,10.0,68,+21.559,5332936,66,6,1:14.183,211.633,1
23907,995,8,6,7,5,6,6,6,8.0,68,+27.184,5338561,59,4,1:14.075,211.941,1
23908,995,807,4,27,7,7,7,7,6.0,67,\N,\N,64,11,1:15.588,207.699,11
23909,995,832,4,55,9,8,8,8,4.0,67,\N,\N,61,13,1:15.666,207.485,11
23910,995,839,10,31,8,9,9,9,2.0,67,\N,\N,61,12,1:15.610,207.639,11
23911,995,844,15,16,13,10,10,10,1.0,67,\N,\N,65,10,1:15.480,207.996,11
23912,995,842,5,10,16,11,11,11,0.0,67,\N,\N,67,14,1:15.699,207.395,11
23913,995,154,210,8,20,12,12,12,0.0,67,\N,\N,56,9,1:15.470,208.024,11
23914,995,825,210,20,11,13,13,13,0.0,67,\N,\N,65,8,1:15.401,208.214,11
23915,995,815,10,11,10,14,14,14,0.0,67,\N,\N,64,7,1:15.100,209.049,11
23916,995,828,15,9,19,15,15,15,0.0,66,\N,\N,62,18,1:16.403,205.484,12
23917,995,838,1,2,15,16,16,16,0.0,66,\N,\N,55,15,1:15.765,207.214,12
23918,995,845,3,35,18,17,17,17,0.0,66,\N,\N,53,16,1:15.924,206.780,12
23919,995,4,1,14,14,\N,R,18,0.0,40,\N,\N,33,17,1:16.180,206.085,43
23920,995,843,5,28,12,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4
23921,995,840,3,18,17,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
23922,996,1,131,44,1,1,1,1,25.0,53,1:30:11.385,5411385,49,5,1:34.509,222.531,1
23923,996,830,9,33,4,2,2,2,18.0,53,+7.090,5418475,47,2,1:34.275,223.083,1
23924,996,8,6,7,6,3,3,3,15.0,53,+25.888,5437273,48,3,1:34.398,222.792,1
23925,996,817,9,3,5,4,4,4,12.0,53,+34.736,5446121,37,7,1:35.382,220.494,1
23926,996,20,6,5,3,5,5,5,10.0,53,+1:01.935,5473320,42,4,1:34.485,222.587,1
23927,996,825,210,20,9,6,6,6,8.0,53,+1:19.364,5490749,50,8,1:35.425,220.395,1
23928,996,822,131,77,2,7,7,7,6.0,53,+1:20.632,5492017,41,1,1:34.225,223.201,1
23929,996,832,4,55,7,8,8,8,4.0,53,+1:27.184,5498569,46,9,1:35.638,219.904,1
23930,996,807,4,27,12,9,9,9,2.0,53,+1:31.989,5503374,46,11,1:35.873,219.365,1
23931,996,844,15,16,8,10,10,10,1.0,53,+1:33.873,5505258,45,12,1:35.977,219.127,1
23932,996,154,210,8,10,11,11,11,0.0,52,\N,\N,47,10,1:35.695,219.773,11
23933,996,838,1,2,17,12,12,12,0.0,52,\N,\N,48,14,1:36.675,217.545,11
23934,996,828,15,9,15,13,13,13,0.0,52,\N,\N,37,13,1:36.494,217.953,11
23935,996,843,5,28,20,14,14,14,0.0,52,\N,\N,40,15,1:36.839,217.176,11
23936,996,845,3,35,18,15,15,15,0.0,52,\N,\N,35,16,1:38.300,213.949,11
23937,996,4,1,14,16,16,16,16,0.0,50,\N,\N,48,6,1:35.133,221.071,36
23938,996,840,3,18,19,17,17,17,0.0,48,\N,\N,35,18,1:38.319,213.907,29
23939,996,815,10,11,13,\N,R,18,0.0,27,\N,\N,25,17,1:38.319,213.907,5
23940,996,839,10,31,11,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4
23941,996,842,5,10,14,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
23942,997,830,9,33,4,1,1,1,25.0,71,1:21:56.024,4916024,70,4,1:07.442,230.491,1
23943,997,8,6,7,3,2,2,2,18.0,71,+1.504,4917528,71,1,1:06.957,232.160,1
23944,997,20,6,5,6,3,3,3,15.0,71,+3.181,4919205,67,2,1:07.082,231.728,1
23945,997,154,210,8,5,4,4,4,12.0,70,\N,\N,17,16,1:09.071,225.055,11
23946,997,825,210,20,8,5,5,5,10.0,70,\N,\N,70,7,1:08.476,227.010,11
23947,997,839,10,31,11,6,6,6,8.0,70,\N,\N,64,11,1:08.850,225.777,11
23948,997,815,10,11,16,7,7,7,6.0,70,\N,\N,66,8,1:08.504,226.918,11
23949,997,4,1,14,13,8,8,8,4.0,70,\N,\N,69,9,1:08.661,226.399,11
23950,997,844,15,16,18,9,9,9,2.0,70,\N,\N,68,14,1:09.006,225.267,11
23951,997,828,15,9,20,10,10,10,1.0,70,\N,\N,67,6,1:08.216,227.876,11
23952,997,842,5,10,12,11,11,11,0.0,70,\N,\N,38,19,1:09.295,224.327,11
23953,997,832,4,55,9,12,12,12,0.0,70,\N,\N,37,10,1:08.766,226.053,11
23954,997,845,3,35,17,13,13,13,0.0,69,\N,\N,64,13,1:08.971,225.381,12
23955,997,840,3,18,14,14,14,14,0.0,69,\N,\N,68,18,1:09.203,224.626,12
23956,997,838,1,2,15,15,15,15,0.0,65,\N,\N,63,12,1:08.894,225.633,130
23957,997,1,131,44,2,\N,R,16,0.0,62,\N,\N,58,3,1:07.241,231.180,32
23958,997,843,5,28,19,\N,R,17,0.0,54,\N,\N,42,17,1:09.171,224.730,9
23959,997,817,9,3,7,\N,R,18,0.0,53,\N,\N,46,5,1:07.591,229.983,43
23960,997,822,131,77,1,\N,R,19,0.0,13,\N,\N,12,15,1:09.044,225.143,9
23961,997,807,4,27,10,\N,R,20,0.0,11,\N,\N,7,20,1:10.380,220.869,5
23962,998,20,6,5,2,1,1,1,25.0,52,1:27:29.784,5249784,47,1,1:30.696,233.831,1
23963,998,1,131,44,1,2,2,2,18.0,52,+2.264,5252048,52,3,1:31.245,232.424,1
23964,998,8,6,7,3,3,3,3,15.0,52,+3.652,5253436,51,2,1:30.795,233.576,1
23965,998,822,131,77,4,4,4,4,12.0,52,+8.883,5258667,43,4,1:31.377,232.089,1
23966,998,817,9,3,6,5,5,5,10.0,52,+9.500,5259284,46,5,1:31.589,231.551,1
23967,998,807,4,27,11,6,6,6,8.0,52,+28.220,5278004,48,7,1:33.405,227.049,1
23968,998,839,10,31,10,7,7,7,6.0,52,+29.930,5279714,48,13,1:33.606,226.562,1
23969,998,4,1,14,13,8,8,8,4.0,52,+31.115,5280899,52,10,1:33.482,226.862,1
23970,998,825,210,20,7,9,9,9,2.0,52,+33.188,5282972,48,12,1:33.604,226.567,1
23971,998,815,10,11,12,10,10,10,1.0,52,+34.708,5284492,48,9,1:33.472,226.887,1
23972,998,838,1,2,17,11,11,11,0.0,52,+35.774,5285558,48,11,1:33.551,226.695,1
23973,998,840,3,18,19,12,12,12,0.0,52,+38.106,5287890,48,15,1:33.869,225.927,1
23974,998,842,5,10,14,13,13,13,0.0,52,+39.129,5288913,48,8,1:33.465,226.904,1
23975,998,845,3,35,18,14,14,14,0.0,52,+48.113,5297897,52,18,1:34.620,224.134,1
23982,998,843,5,28,0,\N,R,20,0.0,1,\N,\N,\N,0,\N,\N,131
23977,998,830,9,33,5,\N,R,15,0.0,46,\N,\N,42,6,1:32.007,230.499,23
23978,998,154,210,8,8,\N,R,16,0.0,37,\N,\N,28,16,1:34.391,224.678,4
23979,998,832,4,55,16,\N,R,17,0.0,37,\N,\N,25,17,1:34.602,224.177,4
23980,998,828,15,9,15,\N,R,18,0.0,31,\N,\N,26,14,1:33.675,226.395,3
23981,998,844,15,16,9,\N,R,19,0.0,18,\N,\N,3,19,1:35.209,222.747,27
23983,999,1,131,44,14,1,1,1,25.0,67,1:32:29.845,5549845,66,1,1:15.545,217.968,1
23984,999,822,131,77,2,2,2,2,18.0,67,+4.535,5554380,65,2,1:15.721,217.461,1
23985,999,8,6,7,3,3,3,3,15.0,67,+6.732,5556577,64,4,1:15.990,216.691,1
23986,999,830,9,33,4,4,4,4,12.0,67,+7.654,5557499,66,3,1:15.852,217.085,1
23987,999,807,4,27,7,5,5,5,10.0,67,+26.609,5576454,66,16,1:17.910,211.351,1
23988,999,154,210,8,6,6,6,6,8.0,67,+28.871,5578716,66,5,1:16.716,214.641,1
23989,999,815,10,11,10,7,7,7,6.0,67,+30.556,5580401,66,15,1:17.867,211.468,1
23990,999,839,10,31,15,8,8,8,4.0,67,+31.750,5581595,64,17,1:17.941,211.267,1
23991,999,828,15,9,13,9,9,9,2.0,67,+32.362,5582207,65,12,1:17.745,211.800,1
23992,999,843,5,28,17,10,10,10,1.0,67,+34.197,5584042,66,9,1:17.681,211.974,1
23993,999,825,210,20,5,11,11,11,0.0,67,+34.919,5584764,66,10,1:17.697,211.930,1
23994,999,832,4,55,8,12,12,12,0.0,67,+43.069,5592914,63,7,1:17.430,212.661,1
23995,999,838,1,2,19,13,13,13,0.0,67,+46.617,5596462,67,8,1:17.537,212.368,1
23996,999,842,5,10,16,14,14,14,0.0,66,\N,\N,66,13,1:17.762,211.753,11
23997,999,844,15,16,9,15,15,15,0.0,66,\N,\N,64,14,1:17.852,211.509,11
23998,999,4,1,14,11,16,16,16,0.0,65,\N,\N,60,11,1:17.741,211.811,31
23999,999,840,3,18,18,\N,R,17,0.0,53,\N,\N,35,19,1:18.861,208.802,5
24000,999,20,6,5,1,\N,R,18,0.0,51,\N,\N,39,6,1:17.290,213.046,3
24001,999,845,3,35,12,\N,R,19,0.0,51,\N,\N,36,20,1:18.934,208.609,5
24002,999,817,9,3,20,\N,R,20,0.0,27,\N,\N,22,18,1:18.262,210.400,5
24003,1000,1,131,44,1,1,1,1,25.0,70,1:37:16.427,5836427,63,4,1:21.107,194.454,1
24004,1000,20,6,5,4,2,2,2,18.0,70,+17.123,5853550,70,2,1:20.056,197.007,1
24005,1000,8,6,7,3,3,3,3,15.0,70,+20.101,5856528,55,3,1:20.292,196.428,1
24006,1000,817,9,3,12,4,4,4,12.0,70,+46.419,5882846,46,1,1:20.012,197.115,1
24007,1000,822,131,77,2,5,5,5,10.0,70,+50.000,5886427,39,8,1:21.736,192.957,1
24008,1000,842,5,10,6,6,6,6,8.0,70,+1:13.273,5909700,64,7,1:21.685,193.078,1
24009,1000,825,210,20,9,7,7,7,6.0,69,\N,\N,60,6,1:21.302,193.987,11
24010,1000,4,1,14,11,8,8,8,4.0,69,\N,\N,68,9,1:22.090,192.125,11
24011,1000,832,4,55,5,9,9,9,2.0,69,\N,\N,58,13,1:22.774,190.538,11
24012,1000,154,210,8,10,10,10,10,1.0,69,\N,\N,58,10,1:22.606,190.925,11
24013,1000,843,5,28,8,11,11,11,0.0,69,\N,\N,62,11,1:22.612,190.911,11
24014,1000,807,4,27,13,12,12,12,0.0,69,\N,\N,69,5,1:21.261,194.085,11
24015,1000,839,10,31,18,13,13,13,0.0,69,\N,\N,63,14,1:22.876,190.303,11
24016,1000,815,10,11,19,14,14,14,0.0,69,\N,\N,56,16,1:23.263,189.419,11
24017,1000,828,15,9,14,15,15,15,0.0,68,\N,\N,53,17,1:23.671,188.495,12
24018,1000,845,3,35,20,16,16,16,0.0,68,\N,\N,53,18,1:23.708,188.412,12
24019,1000,840,3,18,15,17,17,17,0.0,68,\N,\N,51,12,1:22.660,190.800,12
24020,1000,838,1,2,16,\N,R,18,0.0,49,\N,\N,46,15,1:23.077,189.843,6
24021,1000,830,9,33,7,\N,R,19,0.0,5,\N,\N,5,19,1:23.985,187.790,75
24022,1000,844,15,16,17,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,22
24023,1001,20,6,5,2,1,1,1,25.0,44,1:23:34.476,5014476,25,2,1:46.644,236.435,1
24024,1001,1,131,44,1,2,2,2,18.0,44,+11.061,5025537,23,3,1:46.721,236.264,1
24025,1001,830,9,33,7,3,3,3,15.0,44,+31.372,5045848,36,4,1:46.946,235.767,1
24026,1001,822,131,77,19,4,4,4,12.0,44,+1:03.605,5078081,32,1,1:46.286,237.231,1
24027,1001,815,10,11,4,5,5,5,10.0,44,+1:11.023,5085499,38,7,1:48.080,233.293,1
24028,1001,839,10,31,3,6,6,6,8.0,44,+1:19.520,5093996,35,6,1:48.078,233.298,1
24029,1001,154,210,8,5,7,7,7,6.0,44,+1:25.953,5100429,35,8,1:48.283,232.856,1
24030,1001,825,210,20,9,8,8,8,4.0,44,+1:27.639,5102115,36,5,1:47.937,233.602,1
24031,1001,842,5,10,10,9,9,9,2.0,44,+1:45.892,5120368,36,9,1:48.588,232.202,1
24032,1001,828,15,9,13,10,10,10,1.0,43,\N,\N,35,11,1:48.694,231.976,11
24033,1001,832,4,55,14,11,11,11,0.0,43,\N,\N,32,10,1:48.670,232.027,11
24034,1001,845,3,35,16,12,12,12,0.0,43,\N,\N,42,14,1:49.113,231.085,11
24035,1001,840,3,18,17,13,13,13,0.0,43,\N,\N,39,16,1:49.287,230.717,11
24036,1001,843,5,28,11,14,14,14,0.0,43,\N,\N,33,12,1:48.756,231.843,11
24037,1001,838,1,2,18,15,15,15,0.0,43,\N,\N,38,13,1:48.956,231.418,11
24038,1001,817,9,3,8,\N,R,16,0.0,28,\N,\N,27,15,1:49.242,230.812,31
24039,1001,8,6,7,6,\N,R,17,0.0,8,\N,\N,6,17,1:54.320,220.559,23
24040,1001,844,15,16,12,\N,R,18,0.0,0,\N,\N,\N,0,\N,\N,3
24041,1001,4,1,14,15,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,3
24042,1001,807,4,27,20,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,3
24043,1002,1,131,44,3,1,1,1,25.0,53,1:16:54.484,4614484,30,1,1:22.497,252.794,1
24044,1002,8,6,7,1,2,2,2,18.0,53,+8.705,4623189,28,4,1:23.515,249.713,1
24045,1002,822,131,77,4,3,3,3,15.0,53,+14.066,4628550,39,3,1:22.907,251.544,1
24046,1002,20,6,5,2,4,4,4,12.0,53,+16.151,4630635,51,2,1:22.505,252.770,1
24047,1002,830,9,33,5,5,5,5,10.0,53,+18.208,4632692,41,6,1:23.609,249.432,1
24048,1002,839,10,31,8,6,6,6,8.0,53,+57.761,4672245,48,12,1:24.243,247.555,1
24049,1002,815,10,11,14,7,7,7,6.0,53,+58.678,4673162,44,11,1:24.179,247.743,1
24050,1002,832,4,55,7,8,8,8,4.0,53,+1:18.140,4692624,43,5,1:23.529,249.671,1
24051,1002,840,3,18,10,9,9,9,2.0,52,\N,\N,52,9,1:24.056,248.106,11
24052,1002,845,3,35,12,10,10,10,1.0,52,\N,\N,39,14,1:24.580,246.568,11
24053,1002,844,15,16,15,11,11,11,0.0,52,\N,\N,52,8,1:23.768,248.959,11
24054,1002,838,1,2,17,12,12,12,0.0,52,\N,\N,52,13,1:24.504,246.790,11
24055,1002,807,4,27,20,13,13,13,0.0,52,\N,\N,47,16,1:24.772,246.010,11
24056,1002,842,5,10,9,14,14,14,0.0,52,\N,\N,47,10,1:24.059,248.097,11
24057,1002,828,15,9,18,15,15,15,0.0,52,\N,\N,46,15,1:24.767,246.024,11
24058,1002,825,210,20,11,16,16,16,0.0,52,\N,\N,44,7,1:23.768,248.959,11
24059,1002,817,9,3,19,\N,R,17,0.0,23,\N,\N,46,18,1:25.692,243.369,5
